Customer ID,1st Order Profit,Subsequent Order Profit,Subsequent Orders Count,Number of times visted,Total value of all promotions,Total Promotion Profit
140,7,19,3,4,2,25
141,2,62,4,5,15,48
142,5,29,5,6,9,25
143,11,12,1,2,6,17
144,10,14,7,8,10,13
145,10,51,5,6,21,40
146,18,34,4,5,0,51
147,5,0,0,1,1,5
148,6,6,2,3,0,12
150,6,60,9,10,8,58
151,6,51,9,10,5,53
152,3,16,6,7,4,15
153,13,81,6,7,6,88
154,2,0,0,1,0,2
155,6,41,3,4,11,36
156,21,81,6,7,6,96
157,9,0,0,1,5,4
158,9,188,12,13,13,184
159,8,43,10,11,1,50
160,1,0,0,1,0,1
161,10,0,0,1,2,8
162,12,141,10,11,0,152
163,7,41,5,6,5,43
164,14,61,10,11,8,67
165,3,51,6,7,18,36
166,14,239,13,14,51,202
167,5,0,0,1,0,5
168,11,60,10,11,21,50
169,16,72,4,5,6,82
170,9,0,0,1,0,9
171,4,0,0,1,1,4
172,16,0,0,1,0,16
173,2,0,0,1,0,2
174,19,0,0,1,5,14
176,12,0,0,1,0,12
177,7,0,0,1,3,5
178,15,0,0,1,7,8
179,7,0,0,1,3,4
180,6,55,6,7,0,61
181,12,13,7,8,2,23
182,8,0,0,1,0,8
183,7,59,5,6,18,49
184,2,59,7,8,20,42
185,19,35,3,4,3,50
186,10,0,0,1,0,10
187,18,0,0,1,3,14
188,5,35,6,7,8,32
189,13,17,1,2,0,30
190,4,12,4,5,2,15
191,7,12,6,7,2,17
192,13,85,7,8,0,98
193,5,58,6,7,15,48
194,12,9,1,2,0,21
195,4,15,1,2,1,18
196,20,0,0,1,5,15
197,4,0,0,1,0,4
198,13,8,1,2,4,16
199,3,56,11,12,3,56
200,13,13,3,4,6,20
201,9,49,7,8,0,58
202,2,115,9,10,9,108
203,2,10,5,6,0,12
204,2,74,7,8,0,77
205,6,0,0,1,0,6
206,9,39,4,5,19,29
207,11,0,0,1,2,10
208,2,116,12,13,24,94
209,10,20,2,3,0,30
210,14,97,7,8,0,111
211,24,89,9,10,0,113
212,10,115,7,8,0,125
213,9,151,13,14,0,160
214,19,28,7,8,7,40
215,6,12,1,2,3,15
216,3,55,6,7,6,52
217,5,0,0,1,0,5
218,4,116,14,15,0,120
219,17,23,3,4,2,37
220,7,0,0,1,0,7
221,9,17,4,5,0,26
222,10,121,10,11,26,104
223,13,41,4,5,5,50
224,5,144,10,11,71,78
225,15,70,5,6,35,51
226,18,11,1,2,0,29
227,2,0,0,1,0,1
228,19,0,0,1,4,15
229,6,12,1,2,1,17
230,13,261,19,20,5,269
231,18,32,3,4,18,32
232,17,0,0,1,3,14
233,7,68,6,7,13,62
234,9,0,0,1,1,8
235,7,65,12,13,9,62
237,10,0,0,1,0,10
238,16,33,3,4,6,43
239,11,29,5,6,6,34
240,3,39,4,5,10,31
241,17,52,4,5,3,66
242,7,152,16,17,32,126
243,7,46,5,6,7,46
244,19,71,6,7,1,88
245,11,12,1,2,4,19
246,2,19,4,5,0,21
247,2,0,0,1,0,2
248,20,30,6,7,2,48
249,10,227,13,14,32,205
250,3,31,4,5,6,28
251,5,0,0,1,0,5
252,9,41,4,5,15,35
253,11,0,0,1,0,10
254,8,25,3,4,1,33
255,2,0,0,1,1,1
256,8,53,3,4,21,40
257,8,0,0,1,2,6
258,4,45,12,13,0,49
259,12,54,12,13,0,66
261,4,10,1,2,5,9
262,9,121,12,13,0,130
263,16,0,0,1,0,16
264,5,0,0,1,1,4
265,2,0,0,1,0,2
266,1,112,9,10,26,87
267,8,0,0,1,0,8
268,5,110,9,10,29,85
269,12,0,0,1,1,11
270,4,0,0,1,0,4
271,4,0,0,1,1,3
272,1,0,0,1,0,1
273,1,0,0,1,1,0
274,5,0,0,1,2,3
275,6,0,0,1,0,6
276,8,0,0,1,0,8
277,15,0,0,1,0,15
278,6,0,0,1,1,5
279,4,0,0,1,1,3
280,14,0,0,1,4,10
281,8,2,1,2,1,9
282,1,8,5,6,3,6
283,15,0,0,1,3,13
284,9,111,7,8,24,97
285,4,94,10,11,5,93
287,1,0,0,1,0,1
288,8,0,0,1,2,5
289,3,112,7,8,9,105
290,7,52,6,7,3,56
291,11,0,0,1,3,9
292,9,51,6,7,15,44
293,19,90,7,8,31,78
294,5,7,4,5,0,12
295,3,86,17,18,10,79
296,12,15,4,5,7,20
297,7,0,0,1,3,4
298,15,80,9,10,2,93
299,6,25,2,3,9,21
300,6,69,10,11,5,70
301,21,0,0,1,0,21
302,8,16,2,3,0,24
303,11,58,13,14,8,61
304,13,6,2,3,1,18
305,2,30,4,5,3,29
306,15,48,7,8,1,62
307,20,0,0,1,2,18
308,2,14,1,2,2,13
309,18,67,6,7,16,68
310,11,50,4,5,21,40
311,14,215,20,21,25,204
312,9,86,8,9,0,95
313,3,75,9,10,19,59
314,18,116,8,9,42,92
315,9,26,4,5,19,16
316,8,52,10,11,4,56
317,14,0,0,1,0,14
318,11,12,3,4,0,23
319,7,105,9,10,0,113
320,8,86,13,14,1,93
321,3,80,5,6,32,52
322,3,0,0,1,1,2
323,7,18,3,4,3,21
324,7,49,7,8,0,56
325,8,60,7,8,0,68
326,31,0,0,1,6,25
327,8,0,0,1,0,8
328,21,40,4,5,0,61
329,6,0,0,1,0,6
330,19,36,4,5,8,48
331,7,4,1,2,2,8
332,10,34,4,5,0,44
333,8,71,6,7,2,78
334,10,0,0,1,0,10
335,5,82,6,7,0,86
336,4,0,0,1,1,3
337,19,0,0,1,6,13
338,3,30,6,7,8,25
339,14,69,10,11,11,72
340,6,20,3,4,13,12
341,7,128,13,14,8,127
342,2,47,6,7,2,48
343,7,35,5,6,7,35
344,11,0,0,1,2,9
345,11,9,1,2,1,20
346,1,0,0,1,1,0
348,5,74,9,10,0,79
349,2,37,4,5,13,26
350,13,15,2,3,4,25
351,14,86,8,9,1,98
352,7,27,3,4,0,34
353,12,118,14,15,0,130
354,4,44,4,5,12,36
355,4,25,6,7,11,18
356,17,115,6,7,1,130
357,1,0,0,1,0,1
358,12,27,3,4,7,32
359,11,0,0,1,3,8
360,9,123,10,11,66,66
361,12,17,6,7,10,19
362,15,19,4,5,6,28
363,31,0,0,1,0,31
364,25,10,2,3,0,34
365,2,36,9,10,3,35
366,10,0,0,1,2,8
367,13,0,0,1,2,11
368,2,100,10,11,23,79
369,15,54,5,6,10,59
370,11,0,0,1,1,10
372,5,0,0,1,0,5
373,6,0,0,1,0,6
374,24,0,0,1,7,18
375,5,0,0,1,0,5
376,12,0,0,1,0,12
377,12,0,0,1,2,10
378,10,0,0,1,10,1
379,14,0,0,1,0,14
380,6,17,4,5,12,10
381,15,19,3,4,5,30
382,16,21,3,4,8,29
383,7,35,5,6,0,42
384,3,0,0,1,0,3
385,16,0,0,1,6,10
386,7,36,6,7,0,42
387,13,0,0,1,0,13
388,7,16,9,10,6,17
389,4,80,7,8,29,55
390,6,0,0,1,0,6
391,10,31,4,5,22,19
392,6,110,9,10,3,113
393,8,0,0,1,1,6
394,14,39,3,4,0,53
395,3,47,7,8,10,40
396,4,10,2,3,3,11
398,13,83,6,7,27,68
399,2,14,2,3,3,13
400,23,24,2,3,11,36
401,3,29,3,4,0,31
402,8,24,1,2,4,28
403,7,67,13,14,9,66
404,7,77,7,8,0,84
405,23,33,4,5,0,55
406,17,77,9,10,0,94
407,9,0,0,1,0,9
408,5,10,1,2,3,12
409,3,144,12,13,12,135
410,11,131,12,13,0,142
411,7,0,0,1,3,4
412,5,26,8,9,16,15
413,3,135,12,13,19,119
414,4,45,6,7,7,41
415,8,44,7,8,5,47
416,1,106,8,9,0,107
417,3,0,0,1,2,1
418,7,97,12,13,50,54
419,6,49,8,9,2,53
420,2,207,12,13,0,209
421,8,60,13,14,0,68
422,11,54,4,5,16,48
423,8,38,8,9,23,23
424,10,21,2,3,10,21
425,9,26,2,3,3,31
426,16,57,8,9,0,73
427,13,0,0,1,0,13
428,4,9,1,2,0,13
429,4,0,0,1,0,4
430,2,0,0,1,3,-1
431,3,149,10,11,40,112
432,13,0,0,1,0,13
433,13,0,0,1,2,11
434,19,65,6,7,2,82
435,22,14,2,3,1,36
436,18,76,8,9,40,54
437,4,0,0,1,0,4
438,9,51,3,4,0,60
439,3,85,7,8,10,78
440,9,25,3,4,5,29
441,19,122,10,11,0,141
442,6,14,2,3,3,16
443,22,0,0,1,0,22
444,8,5,1,2,0,14
445,2,0,0,1,0,2
446,14,50,4,5,2,62
447,2,0,0,1,1,2
448,7,65,7,8,23,49
449,3,0,0,1,0,3
450,14,12,1,2,0,26
451,3,17,4,5,7,13
452,5,0,0,1,2,4
453,12,14,1,2,0,27
454,13,29,4,5,14,29
455,2,114,12,13,64,52
456,19,152,16,17,12,159
457,2,0,0,1,1,0
459,7,68,9,10,19,56
460,9,19,3,4,5,23
461,10,37,4,5,2,45
462,11,22,3,4,10,23
463,15,0,0,1,0,15
464,8,0,0,1,2,7
465,2,38,3,4,7,32
466,16,192,13,14,27,181
467,17,0,0,1,1,17
468,11,30,2,3,0,41
469,8,20,6,7,2,26
470,17,0,0,1,0,17
471,2,0,0,1,0,1
472,7,0,0,1,0,7
473,12,0,0,1,5,7
474,15,0,0,1,5,10
475,18,0,0,1,4,15
476,5,0,0,1,2,3
477,11,0,0,1,6,5
478,13,0,0,1,0,13
479,7,0,0,1,0,7
480,6,35,4,5,6,36
481,10,116,6,7,0,126
483,9,0,0,1,1,8
484,29,74,3,4,0,103
485,4,119,9,10,0,123
486,4,73,6,7,0,77
487,22,0,0,1,0,22
488,2,20,2,3,0,22
489,3,0,0,1,2,1
490,10,31,5,6,2,39
491,5,46,7,8,13,38
492,5,67,6,7,14,58
493,2,71,6,7,13,61
494,5,0,0,1,2,4
495,10,0,0,1,1,9
496,22,156,12,13,0,178
497,2,0,0,1,0,2
498,18,212,13,14,41,190
499,2,0,0,1,1,1
500,12,16,3,4,0,29
501,2,0,0,1,1,2
502,11,73,7,8,22,62
503,12,79,7,8,0,91
504,18,0,0,1,0,18
505,13,49,8,9,0,62
506,8,53,4,5,1,59
507,2,0,0,1,1,1
509,2,51,4,5,3,51
510,2,214,16,17,18,198
511,4,28,15,16,0,33
512,2,40,9,10,2,40
513,6,0,0,1,2,5
514,4,34,6,7,4,35
515,10,44,6,7,9,44
516,12,9,2,3,0,21
517,2,0,0,1,0,1
518,11,16,1,2,0,26
519,9,66,9,10,6,69
520,5,196,13,14,43,158
521,12,30,1,2,1,41
522,6,41,5,6,1,45
523,4,19,1,2,7,17
524,22,29,3,4,13,38
525,11,0,0,1,2,10
526,10,0,0,1,2,8
527,2,0,0,1,0,2
528,10,0,0,1,1,8
529,2,67,6,7,9,59
530,16,47,5,6,2,60
531,11,18,3,4,0,29
532,5,15,3,4,10,10
533,2,19,4,5,0,20
534,14,51,7,8,20,45
535,11,134,12,13,0,145
536,11,78,7,8,11,79
537,19,0,0,1,7,12
538,22,10,5,6,18,13
539,5,32,5,6,0,36
540,8,87,7,8,0,96
541,7,25,5,6,0,33
542,3,18,5,6,7,13
543,5,5,2,3,7,3
544,5,4,1,2,0,9
545,9,70,8,9,15,64
546,11,93,12,13,12,92
547,4,0,0,1,1,3
548,3,55,5,6,11,46
549,9,30,2,3,5,33
550,7,83,11,12,15,75
551,9,108,8,9,0,117
552,13,69,7,8,25,57
553,13,24,3,4,6,31
554,14,74,8,9,1,87
555,23,14,1,2,19,19
556,10,109,10,11,12,107
557,5,0,0,1,1,4
558,1,93,17,18,62,33
559,10,0,0,1,1,9
560,2,17,1,2,0,19
561,4,18,3,4,2,19
562,6,174,12,13,1,180
563,6,82,10,11,43,44
564,2,135,14,15,45,92
565,10,0,0,1,0,10
566,8,0,0,1,2,5
567,2,0,0,1,0,2
568,8,38,5,6,18,27
570,2,0,0,1,0,2
571,14,0,0,1,0,14
572,3,0,0,1,1,3
573,12,0,0,1,0,12
574,13,0,0,1,3,10
575,6,0,0,1,1,6
576,2,0,0,1,1,1
577,1,0,0,1,0,1
578,11,0,0,1,3,8
579,10,0,0,1,2,8
580,10,40,6,7,8,42
581,10,0,0,1,1,9
582,14,25,6,7,2,36
583,16,27,2,3,23,20
584,12,174,12,13,0,186
585,8,0,0,1,6,2
586,17,44,10,11,0,61
587,2,0,0,1,1,1
588,6,45,6,7,7,44
589,22,51,9,10,0,73
590,15,66,8,9,18,63
591,12,82,10,11,43,52
592,2,0,0,1,1,1
594,7,23,7,8,16,14
595,13,36,4,5,5,44
596,17,0,0,1,0,17
597,9,0,0,1,2,8
598,10,18,4,5,9,19
599,14,35,6,7,14,34
600,4,53,5,6,0,56
601,9,61,9,10,0,70
602,3,5,1,2,0,8
603,24,76,6,7,16,85
604,12,0,0,1,2,10
605,2,16,3,4,0,18
606,29,73,12,13,27,75
607,3,0,0,1,4,0
608,2,12,2,3,0,13
609,10,75,7,8,21,64
610,7,0,0,1,0,6
611,8,22,1,2,3,27
612,4,23,2,3,0,27
613,18,26,10,11,5,38
614,7,49,4,5,0,56
615,19,27,3,4,0,47
616,2,0,0,1,0,2
617,4,0,0,1,1,2
618,5,0,0,1,0,5
620,16,63,11,12,0,79
621,3,7,1,2,1,9
622,20,0,0,1,0,20
623,10,33,8,9,11,32
624,10,17,5,6,5,22
625,8,36,3,4,22,22
626,9,58,7,8,18,49
627,9,0,0,1,2,6
628,8,52,10,11,13,46
629,3,22,3,4,17,7
630,17,40,4,5,0,57
631,2,143,12,13,0,145
632,10,21,6,7,13,18
633,1,0,0,1,0,1
634,10,0,0,1,8,2
635,14,85,8,9,3,96
636,9,69,6,7,0,77
637,4,0,0,1,1,3
638,8,39,5,6,8,39
639,3,0,0,1,0,3
640,13,83,6,7,0,96
641,10,24,3,4,6,28
642,2,20,5,6,0,21
643,13,80,11,12,10,83
644,17,81,6,7,15,83
645,6,0,0,1,1,6
646,13,14,2,3,6,22
647,3,0,0,1,1,2
648,6,86,7,8,36,57
649,2,6,1,2,0,8
650,11,61,4,5,0,72
651,14,278,16,17,18,274
652,16,35,3,4,0,51
653,4,98,12,13,27,75
654,7,64,10,11,3,67
655,1,42,4,5,0,44
656,12,24,4,5,14,21
657,8,0,0,1,1,7
658,4,130,13,14,0,134
659,18,51,4,5,6,63
660,11,0,0,1,0,11
661,20,92,11,12,0,112
662,11,103,6,7,0,114
663,2,22,2,3,11,13
664,6,23,5,6,10,19
665,6,56,4,5,0,62
666,10,51,7,8,11,50
667,20,0,0,1,0,20
668,10,0,0,1,0,10
669,7,46,3,4,1,52
670,13,0,0,1,0,13
671,17,0,0,1,1,16
672,11,0,0,1,1,11
673,7,0,0,1,3,4
674,3,0,0,1,1,2
675,13,0,0,1,0,13
676,9,0,0,1,1,8
677,7,0,0,1,1,6
678,11,0,0,1,0,11
679,9,0,0,1,1,8
681,13,45,3,4,25,33
682,2,0,0,1,0,2
683,5,0,0,1,0,5
684,7,93,12,13,64,36
685,7,22,3,4,20,9
686,2,39,3,4,0,41
687,2,0,0,1,0,2
688,8,83,10,11,8,83
689,4,211,12,13,0,216
690,3,24,5,6,2,25
691,3,78,6,7,4,78
692,5,81,10,11,2,84
693,8,10,3,4,6,12
694,10,21,7,8,28,3
695,10,0,0,1,4,6
696,2,15,1,2,6,11
697,16,0,0,1,3,13
698,5,0,0,1,0,5
699,11,0,0,1,8,3
700,8,0,0,1,1,6
701,5,0,0,1,0,5
702,36,0,0,1,17,20
703,27,0,0,1,12,15
705,13,0,0,1,0,13
706,23,0,0,1,4,19
707,11,0,0,1,4,8
708,5,0,0,1,1,4
709,5,0,0,1,0,4
710,3,0,0,1,0,3
711,2,0,0,1,1,1
712,10,0,0,1,0,10
713,8,0,0,1,0,7
714,9,0,0,1,3,6
715,9,0,0,1,1,8
716,6,0,0,1,1,5
717,8,0,0,1,0,8
718,7,0,0,1,4,4
719,12,0,0,1,1,11
720,9,0,0,1,0,9
721,16,0,0,1,0,15
722,12,0,0,1,0,12
723,4,0,0,1,2,1
724,5,0,0,1,1,4
725,2,0,0,1,0,2
726,10,0,0,1,2,8
727,19,0,0,1,9,10
728,7,0,0,1,0,7
729,11,0,0,1,0,11
731,12,0,0,1,4,8
732,8,0,0,1,3,5
733,4,0,0,1,1,3
734,2,0,0,1,0,2
735,4,0,0,1,2,2
736,7,0,0,1,0,7
737,9,0,0,1,0,9
738,4,0,0,1,2,3
739,2,0,0,1,0,1
740,12,0,0,1,3,9
741,9,0,0,1,6,4
742,8,0,0,1,0,8
743,7,0,0,1,0,7
744,5,0,0,1,1,4
745,18,0,0,1,0,18
746,23,0,0,1,1,22
747,2,0,0,1,0,2
748,6,0,0,1,3,2
749,19,0,0,1,5,14
750,4,0,0,1,1,3
751,6,0,0,1,2,4
752,15,0,0,1,0,15
753,8,0,0,1,0,8
754,3,0,0,1,0,3
755,9,0,0,1,1,7
756,12,0,0,1,0,12
757,9,0,0,1,1,8
758,10,0,0,1,5,5
759,2,0,0,1,0,2
760,4,0,0,1,0,4
761,12,0,0,1,0,12
762,15,0,0,1,2,13
763,6,0,0,1,1,5
764,6,0,0,1,0,6
765,7,0,0,1,0,7
766,18,0,0,1,0,18
767,18,0,0,1,0,18
768,8,0,0,1,3,5
769,2,0,0,1,1,1
770,6,0,0,1,0,6
771,13,0,0,1,5,9
772,12,0,0,1,5,7
773,9,0,0,1,0,9
774,16,0,0,1,6,11
775,14,0,0,1,6,9
776,3,0,0,1,0,3
777,2,0,0,1,0,1
778,5,0,0,1,0,5
779,22,0,0,1,7,15
780,8,0,0,1,0,8
781,2,0,0,1,0,2
782,8,0,0,1,2,6
783,10,0,0,1,1,9
784,5,0,0,1,1,4
785,1,0,0,1,0,1
786,10,0,0,1,0,10
787,5,0,0,1,1,5
788,19,0,0,1,17,2
789,17,0,0,1,8,9
790,2,0,0,1,0,1
792,5,0,0,1,0,5
793,3,0,0,1,2,1
794,11,0,0,1,2,10
795,10,0,0,1,3,6
796,13,0,0,1,3,10
797,9,0,0,1,4,5
798,4,0,0,1,1,3
799,4,0,0,1,1,3
800,10,82,10,11,0,92
801,6,72,8,9,0,77
802,12,63,9,10,11,64
803,5,41,7,8,13,33
804,7,130,10,11,21,116
805,4,57,4,5,0,60
806,12,0,0,1,1,10
807,6,0,0,1,0,6
808,4,119,13,14,0,123
809,6,19,2,3,0,25
810,7,8,1,2,0,15
811,13,139,9,10,43,109
812,11,0,0,1,4,7
813,2,0,0,1,0,2
814,4,114,12,13,0,118
816,17,9,2,3,3,23
817,2,0,0,1,1,2
818,4,0,0,1,0,4
819,6,55,4,5,7,53
820,18,0,0,1,0,18
821,5,0,0,1,5,0
822,2,0,0,1,0,2
823,11,0,0,1,4,7
824,10,117,9,10,1,127
825,19,310,16,17,0,329
826,10,41,3,4,5,46
827,6,0,0,1,0,6
828,17,60,5,6,6,71
829,14,32,8,9,16,31
830,5,33,4,5,0,38
831,4,62,6,7,2,65
832,12,52,3,4,5,60
833,4,168,9,10,41,131
834,18,183,10,11,11,190
835,7,64,14,15,30,42
836,1,0,0,1,0,1
837,9,0,0,1,0,9
838,11,74,10,11,0,85
839,16,91,6,7,0,106
840,11,31,4,5,10,32
842,4,178,17,18,52,130
843,9,27,5,6,0,36
844,8,57,9,10,6,59
845,17,6,1,2,7,16
846,10,47,4,5,0,56
847,3,0,0,1,2,1
848,12,52,10,11,29,35
849,8,0,0,1,0,8
850,11,24,2,3,0,35
851,6,0,0,1,0,6
852,7,68,8,9,0,76
853,1,93,13,14,51,43
854,7,0,0,1,2,5
855,11,0,0,1,4,7
856,7,11,6,7,11,8
857,5,0,0,1,2,3
858,9,27,3,4,19,16
859,9,42,6,7,0,51
860,13,127,10,11,43,97
861,6,0,0,1,2,4
862,4,30,7,8,7,28
863,12,15,1,2,0,28
864,3,8,1,2,0,11
865,5,49,5,6,0,54
866,12,0,0,1,0,12
867,3,0,0,1,1,3
868,17,90,7,8,0,107
869,7,0,0,1,1,5
870,6,0,0,1,1,5
871,10,0,0,1,5,5
872,6,0,0,1,0,6
873,3,0,0,1,2,1
874,5,0,0,1,1,4
875,8,0,0,1,1,7
876,18,0,0,1,7,11
877,2,0,0,1,0,2
878,12,0,0,1,1,12
879,3,0,0,1,1,2
880,7,25,4,5,10,22
881,14,48,10,11,0,62
882,5,43,6,7,0,48
883,6,66,5,6,6,66
884,8,33,4,5,6,35
885,13,63,6,7,0,76
886,13,82,6,7,29,67
887,4,0,0,1,0,4
888,12,77,7,8,19,70
889,5,149,10,11,25,129
890,7,22,7,8,2,27
891,3,79,6,7,5,77
892,14,82,9,10,44,52
893,9,46,10,11,18,37
894,8,18,2,3,0,25
895,12,43,10,11,17,38
896,2,16,4,5,2,16
897,2,0,0,1,0,2
898,11,49,6,7,0,60
899,8,0,0,1,0,8
900,8,34,3,4,9,33
901,12,133,11,12,20,126
903,17,107,10,11,2,121
904,4,0,0,1,1,2
905,12,0,0,1,3,8
906,24,8,3,4,2,31
907,9,0,0,1,5,4
908,1,11,7,8,7,5
909,28,0,0,1,3,24
910,2,0,0,1,1,1
911,2,26,3,4,1,27
912,15,138,13,14,0,154
913,2,9,1,2,2,9
914,2,45,7,8,3,44
915,2,0,0,1,1,2
916,11,5,1,2,1,16
917,4,0,0,1,1,2
918,6,79,13,14,0,85
919,12,25,3,4,2,35
920,11,61,8,9,34,38
921,7,55,4,5,1,61
922,12,26,6,7,0,38
923,19,0,0,1,7,11
924,7,42,6,7,14,36
925,11,32,8,9,14,29
927,17,0,0,1,5,12
928,8,66,10,11,14,60
929,11,10,6,7,0,21
930,24,0,0,1,0,24
931,11,0,0,1,1,10
932,1,6,1,2,0,7
933,11,11,1,2,1,21
934,1,48,7,8,3,47
935,10,48,5,6,0,58
936,11,11,3,4,11,11
937,7,0,0,1,3,4
938,7,3,1,2,0,10
939,2,0,0,1,1,1
940,12,0,0,1,0,12
941,10,35,7,8,5,41
942,10,17,2,3,1,26
943,1,0,0,1,0,1
944,16,0,0,1,1,15
945,7,82,8,9,29,59
946,1,12,2,3,7,6
947,12,0,0,1,5,6
948,6,14,1,2,0,20
949,8,71,5,6,0,79
950,17,60,7,8,33,45
951,15,44,6,7,11,48
953,20,0,0,1,2,18
954,9,56,7,8,0,65
955,11,56,10,11,8,58
956,13,29,4,5,9,32
957,17,0,0,1,4,13
958,6,26,2,3,8,24
959,3,26,12,13,0,30
960,7,7,4,5,2,13
961,9,48,7,8,17,40
962,5,19,1,2,2,23
963,2,5,1,2,0,7
964,2,38,7,8,0,40
965,5,0,0,1,1,4
966,32,10,3,4,12,30
967,12,0,0,1,0,12
968,1,34,4,5,0,35
969,11,103,13,14,0,114
970,9,0,0,1,0,9
971,2,0,0,1,0,1
972,11,0,0,1,0,11
973,23,0,0,1,0,23
974,14,0,0,1,0,14
975,5,0,0,1,1,4
976,8,0,0,1,1,7
977,4,0,0,1,0,4
978,7,0,0,1,0,7
979,17,0,0,1,1,16
980,14,0,0,1,0,14
981,17,25,6,7,0,42
982,11,62,7,8,0,73
983,9,96,7,8,41,63
984,11,0,0,1,0,11
985,8,54,7,8,0,62
986,11,15,4,5,0,26
987,3,0,0,1,1,2
988,10,0,0,1,0,10
989,3,43,6,7,4,42
990,5,72,10,11,48,29
991,7,0,0,1,0,7
992,11,37,9,10,5,43
993,20,47,5,6,0,67
994,14,299,17,18,42,271
995,7,0,0,1,6,1
996,9,16,4,5,2,23
997,8,0,0,1,0,8
998,4,41,6,7,18,27
999,2,12,2,3,3,11
1000,11,34,3,4,24,21
1001,5,64,9,10,0,69
1002,4,23,5,6,0,28
1003,5,60,8,9,0,65
1004,8,7,1,2,13,2
1005,3,61,9,10,0,64
1006,8,34,4,5,0,42
1007,7,0,0,1,0,7
1008,11,56,6,7,5,62
1009,14,28,3,4,11,31
1010,11,116,8,9,0,126
1011,7,0,0,1,3,4
1012,9,101,7,8,30,80
1014,10,123,9,10,52,81
1015,21,188,11,12,5,203
1016,7,53,9,10,0,60
1017,1,0,0,1,0,1
